,WHO region,Year,overweight_expected_value_prob,overweight_lower_CI_prob,overweight_upper_CI_prob,overweight_expected_value_millions,overweight_lower_CI_millions,overweight_upper_CI_millions
0,Global,2020,5.7,5.3,6.3,38.9,35.6,42.4
1,Global,2019,5.7,5.3,6.2,38.6,35.7,41.8
2,Global,2018,5.7,5.3,6.1,38.4,35.5,41.4
3,Global,2017,5.6,5.2,6.1,38.1,35.4,41.0
4,Global,2016,5.6,5.2,6.0,37.8,35.2,40.5
5,Global,2015,5.6,5.2,6.0,37.6,35.2,40.1
6,Global,2014,5.6,5.2,6.0,37.4,35.1,39.9
7,Global,2013,5.6,5.3,5.9,37.2,35.0,39.6
8,Global,2012,5.6,5.3,5.9,37.0,34.8,39.4
9,Global,2011,5.6,5.3,5.9,36.8,34.7,39.0
10,Global,2010,5.6,5.3,5.9,36.4,34.4,38.6
11,Global,2009,5.6,5.3,5.9,36.2,34.2,38.3
12,Global,2008,5.6,5.3,5.9,36.0,33.9,38.2
13,Global,2007,5.6,5.3,5.9,35.8,33.8,37.9
14,Global,2006,5.7,5.4,6.0,35.7,33.8,37.7
15,Global,2005,5.7,5.4,6.0,35.6,33.7,37.6
16,Global,2004,5.7,5.4,6.0,35.5,33.5,37.6
17,Global,2003,5.7,5.4,6.0,35.4,33.5,37.4
18,Global,2002,5.6,5.3,5.9,35.0,33.1,37.1
19,Global,2001,5.5,5.2,5.8,34.4,32.4,36.4
20,Global,2000,5.4,5.1,5.7,33.3,31.5,35.1
21,Global,1999,5.3,5.0,5.6,32.4,30.6,34.3
22,Global,1998,5.2,4.9,5.5,31.4,29.6,33.2
23,Global,1997,5.0,4.8,5.3,30.4,28.8,32.2
24,Global,1996,4.9,4.7,5.2,29.9,28.3,31.6
25,Global,1995,4.8,4.6,5.2,30.0,28.3,31.9
26,Global,1994,4.8,4.5,5.1,29.9,28.1,31.7
27,Global,1993,4.7,4.4,5.0,29.9,27.9,32.0
28,Global,1992,4.6,4.3,5.0,29.9,27.8,32.2
29,Global,1991,4.6,4.2,5.0,29.7,27.3,32.3
30,Global,1990,4.6,4.2,5.0,29.6,27.1,32.4
31,Africa,2020,4.2,3.9,4.6,7.3,6.7,8.0
32,Africa,2019,4.1,3.9,4.5,7.1,6.6,7.6
33,Africa,2018,4.1,3.8,4.4,6.8,6.4,7.3
34,Africa,2017,4.0,3.7,4.3,6.6,6.2,7.0
35,Africa,2016,3.9,3.7,4.2,6.4,6.0,6.8
36,Africa,2015,3.9,3.7,4.2,6.3,5.9,6.6
37,Africa,2014,3.9,3.7,4.2,6.2,5.8,6.5
38,Africa,2013,4.0,3.8,4.2,6.1,5.8,6.5
39,Africa,2012,4.0,3.8,4.3,6.1,5.8,6.4
40,Africa,2011,4.1,3.9,4.4,6.1,5.8,6.4
41,Africa,2010,4.3,4.0,4.5,6.1,5.8,6.5
42,Africa,2009,4.5,4.2,4.7,6.2,5.9,6.6
43,Africa,2008,4.7,4.4,5.0,6.4,6.0,6.8
44,Africa,2007,5.0,4.7,5.3,6.6,6.2,7.0
45,Africa,2006,5.3,5.0,5.6,6.8,6.4,7.3
46,Africa,2005,5.6,5.2,5.9,7.0,6.6,7.5
47,Africa,2004,5.8,5.4,6.2,7.1,6.7,7.6
48,Africa,2003,5.9,5.5,6.3,7.1,6.6,7.6
49,Africa,2002,5.9,5.5,6.3,6.9,6.4,7.4
50,Africa,2001,5.7,5.3,6.2,6.6,6.1,7.1
51,Africa,2000,5.5,5.1,6.0,6.2,5.7,6.7
52,Africa,1999,5.3,4.9,5.7,5.8,5.4,6.2
53,Africa,1998,5.1,4.7,5.5,5.4,5.0,5.8
