,WHO region,Year,stunted_expected_value_prob,stunted_lower_CI_prob,stunted_upper_CI_prob,stunted_expected_value_millions,stunted_lower_CI_millions,stunted_upper_CI_millions
0,Global,2020,22.0,21.3,22.7,149.2,144.4,154.2
1,Global,2019,22.4,21.8,23.1,152.0,147.6,156.4
2,Global,2018,22.9,22.3,23.5,154.9,151.0,158.9
3,Global,2017,23.4,22.8,23.9,157.7,154.2,161.2
4,Global,2016,23.8,23.4,24.3,160.5,157.3,163.6
5,Global,2015,24.4,23.9,24.8,163.4,160.4,166.4
6,Global,2014,24.9,24.5,25.4,166.4,163.4,169.4
7,Global,2013,25.5,25.1,26.0,169.9,167.0,173.0
8,Global,2012,26.2,25.7,26.7,173.7,170.4,176.9
9,Global,2011,26.9,26.4,27.5,177.3,173.7,180.9
10,Global,2010,27.7,27.1,28.3,180.5,176.6,184.4
11,Global,2009,28.4,27.8,29.0,183.7,179.6,187.9
12,Global,2008,29.0,28.4,29.7,186.4,182.0,190.9
13,Global,2007,29.6,29.0,30.3,188.7,184.3,193.1
14,Global,2006,30.2,29.5,30.9,190.6,186.1,195.2
15,Global,2005,30.7,30.0,31.4,192.3,188.0,196.7
16,Global,2004,31.1,30.5,31.8,194.4,190.3,198.6
17,Global,2003,31.5,30.9,32.2,197.0,193.1,201.0
18,Global,2002,31.9,31.3,32.6,199.8,195.8,203.8
19,Global,2001,32.5,31.9,33.1,202.1,198.4,205.9
20,Global,2000,33.1,32.4,33.7,203.6,199.8,207.4
21,Global,1999,33.7,33.0,34.3,206.4,202.6,210.2
22,Global,1998,34.4,33.7,35.0,209.0,205.1,213.0
23,Global,1997,35.0,34.4,35.7,212.0,207.9,216.2
24,Global,1996,35.6,35.0,36.3,216.8,212.6,221.0
25,Global,1995,36.2,35.5,36.9,224.2,220.0,228.5
26,Global,1994,36.8,36.2,37.5,230.9,226.8,235.0
27,Global,1993,37.5,36.8,38.2,238.9,234.6,243.2
28,Global,1992,38.3,37.5,39.0,247.2,242.3,252.1
29,Global,1991,39.1,38.2,40.0,253.9,248.1,259.8
30,Global,1990,40.0,38.9,41.2,257.7,250.5,264.9
31,Africa,2020,31.7,30.9,32.6,54.9,53.4,56.3
32,Africa,2019,32.2,31.5,33.0,54.9,53.6,56.2
33,Africa,2018,32.8,32.1,33.5,55.0,53.8,56.1
34,Africa,2017,33.3,32.7,33.9,54.9,53.9,55.9
35,Africa,2016,33.7,33.2,34.3,54.7,53.8,55.7
36,Africa,2015,34.2,33.7,34.7,54.5,53.7,55.3
37,Africa,2014,34.8,34.3,35.3,54.3,53.6,55.1
38,Africa,2013,35.4,34.9,35.9,54.3,53.5,55.0
39,Africa,2012,36.0,35.5,36.6,54.1,53.3,55.0
40,Africa,2011,36.7,36.1,37.3,53.9,53.1,54.8
41,Africa,2010,37.4,36.8,38.1,53.6,52.7,54.5
42,Africa,2009,38.2,37.5,38.8,53.3,52.4,54.3
43,Africa,2008,38.9,38.2,39.6,53.0,52.1,54.0
44,Africa,2007,39.6,38.8,40.3,52.6,51.7,53.6
45,Africa,2006,40.3,39.5,41.0,52.2,51.2,53.2
46,Africa,2005,40.9,40.2,41.7,51.6,50.6,52.6
47,Africa,2004,41.6,40.8,42.3,51.1,50.2,52.0
48,Africa,2003,42.1,41.4,42.9,50.6,49.7,51.5
49,Africa,2002,42.7,41.9,43.4,50.1,49.2,51.0
50,Africa,2001,43.2,42.4,44.0,49.4,48.5,50.3
51,Africa,2000,43.6,42.8,44.5,48.6,47.6,49.5
52,Africa,1999,44.0,43.2,44.9,47.9,47.0,48.9
53,Africa,1998,44.4,43.5,45.3,47.3,46.3,48.2
54,Africa,1997,44.8,43.8,45.7,46.6,45.7,47.6
55,Africa,1996,45.1,44.1,46.0,46.0,45.0,46.9
56,Africa,1995,45.4,44.4,46.3,45.2,44.3,46.1
57,Africa,1994,45.6,44.7,46.6,44.6,43.7,45.6
58,Africa,1993,45.9,45.0,46.8,44.2,43.3,45.1
59,Africa,1992,46.2,45.2,47.2,43.7,42.8,44.6
60,Africa,1991,46.5,45.3,47.6,43.2,42.1,44.3
61,Africa,1990,46.8,45.3,48.2,42.5,41.2,43.8
62,Americas,2020,8.9,8.2,9.7,6.5,6.0,7.1
63,Americas,2019,9.0,8.3,9.7,6.6,6.1,7.1
64,Americas,2018,9.1,8.5,9.8,6.7,6.3,7.2
65,Americas,2017,9.2,8.7,9.8,6.8,6.4,7.2
66,Americas,2016,9.3,8.8,9.8,6.9,6.5,7.3
67,Americas,2015,9.4,8.9,9.9,7.0,6.6,7.3
68,Americas,2014,9.5,9.1,9.9,7.1,6.7,7.4
