,WHO region,Year,underweight_expected_value_prob,underweight_lower_CI_prob,underweight_upper_CI_prob,underweight_expected_value_millions,underweight_lower_CI_millions,underweight_upper_CI_millions
0,Global,2020,12.6,10.8,14.4,85.4,73.4,97.4
1,Global,2019,12.9,11.1,14.6,87.1,75.2,99.1
2,Global,2018,13.1,11.4,14.9,88.8,76.9,100.7
3,Global,2017,13.4,11.7,15.2,90.5,78.7,102.4
4,Global,2016,13.7,12.0,15.5,92.4,80.6,104.2
5,Global,2015,14.1,12.3,15.9,94.5,82.7,106.4
6,Global,2014,14.5,12.7,16.3,96.7,84.8,108.6
7,Global,2013,14.9,13.1,16.7,99.0,87.0,111.0
8,Global,2012,15.3,13.5,17.1,101.4,89.3,113.5
9,Global,2011,15.8,13.9,17.6,103.7,91.5,115.8
10,Global,2010,16.2,14.3,18.1,105.7,93.5,117.8
11,Global,2009,16.7,14.8,18.5,107.8,95.6,119.9
12,Global,2008,17.1,15.2,19.0,109.8,97.7,122.0
13,Global,2007,17.6,15.7,19.5,111.8,99.7,123.9
14,Global,2006,18.0,16.1,19.9,113.7,101.7,125.8
15,Global,2005,18.4,16.5,20.3,115.6,103.6,127.6
16,Global,2004,18.8,16.9,20.7,117.7,105.7,129.7
17,Global,2003,19.2,17.3,21.1,120.0,108.1,132.0
18,Global,2002,19.6,17.7,21.5,122.4,110.5,134.3
19,Global,2001,20.0,18.1,21.9,124.5,112.6,136.4
20,Global,2000,20.5,18.6,22.4,126.1,114.3,137.9
21,Global,1999,20.9,19.0,22.9,128.4,116.5,140.2
22,Global,1998,21.5,19.5,23.4,130.5,118.7,142.3
23,Global,1997,21.9,20.0,23.9,132.8,121.0,144.6
24,Global,1996,22.3,20.4,24.3,135.7,123.8,147.5
25,Global,1995,22.5,20.6,24.4,139.4,127.6,151.3
26,Global,1994,22.8,20.9,24.7,143.0,131.1,154.9
27,Global,1993,23.1,21.2,25.0,147.2,135.2,159.2
28,Global,1992,23.4,21.6,25.3,151.5,139.5,163.5
29,Global,1991,23.9,22.0,25.8,155.2,143.1,167.3
30,Global,1990,24.5,22.6,26.4,157.7,145.6,169.8
31,Africa,2020,15.7,12.8,19.2,27.2,22.1,33.2
32,Africa,2019,16.1,13.1,19.6,27.4,22.3,33.3
33,Africa,2018,16.4,13.4,20.0,27.5,22.5,33.5
34,Africa,2017,16.8,13.7,20.4,27.7,22.6,33.6
35,Africa,2016,17.1,14.0,20.8,27.8,22.7,33.7
36,Africa,2015,17.5,14.3,21.2,27.9,22.8,33.7
37,Africa,2014,17.9,14.6,21.6,27.9,22.9,33.7
38,Africa,2013,18.2,15.0,22.0,28.0,23.0,33.8
39,Africa,2012,18.6,15.3,22.4,28.0,23.0,33.7
40,Africa,2011,19.0,15.6,22.9,27.9,23.0,33.6
41,Africa,2010,19.4,16.0,23.3,27.8,22.9,33.4
42,Africa,2009,19.8,16.3,23.8,27.6,22.8,33.2
43,Africa,2008,20.2,16.7,24.2,27.5,22.7,33.1
44,Africa,2007,20.6,17.0,24.7,27.4,22.6,32.9
45,Africa,2006,21.0,17.4,25.2,27.2,22.5,32.6
46,Africa,2005,21.4,17.7,25.7,27.0,22.4,32.3
47,Africa,2004,21.9,18.1,26.1,26.9,22.2,32.1
48,Africa,2003,22.3,18.5,26.6,26.8,22.2,32.0
49,Africa,2002,22.7,18.9,27.1,26.7,22.1,31.8
50,Africa,2001,23.2,19.2,27.7,26.5,22.0,31.7
51,Africa,2000,23.6,19.6,28.2,26.3,21.9,31.4
52,Africa,1999,24.1,20.0,28.7,26.2,21.8,31.2
53,Africa,1998,24.6,20.4,29.2,26.1,21.7,31.1
54,Africa,1997,25.0,20.8,29.8,26.1,21.7,31.0
55,Africa,1996,25.5,21.2,30.3,26.0,21.6,30.9
56,Africa,1995,26.0,21.6,30.9,25.9,21.6,30.8
57,Africa,1994,26.5,22.1,31.4,25.9,21.6,30.7
58,Africa,1993,27.0,22.5,32.0,25.9,21.6,30.8
59,Africa,1992,27.5,22.9,32.6,26.0,21.7,30.8
60,Africa,1991,28.0,23.3,33.1,26.0,21.7,30.8
61,Africa,1990,28.5,23.8,33.7,25.9,21.6,30.6
62,Americas,2020,1.7,1.0,2.9,1.3,0.8,2.1
63,Americas,2019,1.8,1.1,3.0,1.3,0.8,2.2
64,Americas,2018,1.8,1.1,3.1,1.4,0.8,2.3
